Ticker,Degree_Centrality,ER_Degree_Mean,ER_Degree_Std,DP_Degree_Mean,DP_Degree_Std
GLW,0.01751824817518248,0.037576642335766415,0.006983110947295404,0.017518248175182487,6.973850769498386e-18
ETR,0.10656934306569342,0.03671532846715328,0.006356163257257732,0.1065693430656934,1.3947701538996772e-17
STT,0.1532846715328467,0.03605839416058394,0.007650616539340777,0.15328467153284664,5.579080615598709e-17
BR,0.032116788321167884,0.03535766423357664,0.006677265674197408,0.03211678832116788,6.973850769498386e-18
AEE,0.07883211678832117,0.0356934306569343,0.006260614900478944,0.07883211678832117,0.0
CVNA,0.08613138686131386,0.03640875912408759,0.007437517031218345,0.08613138686131387,1.3947701538996772e-17
GDDY,0.04671532846715328,0.0385985401459854,0.007122598331301991,0.04671532846715326,2.092155230849516e-17
FOX,0.08175182481751825,0.03637956204379561,0.006980212584736197,0.08175182481751822,2.7895403077993544e-17
FWONK,0.01751824817518248,0.0364963503649635,0.0068094914778065105,0.017518248175182487,6.973850769498386e-18
UI,0.10510948905109488,0.03670072992700729,0.006636649640824029,0.10510948905109489,1.3947701538996772e-17
NTRA,0.0364963503649635,0.03655474452554744,0.0067361329796440566,0.0364963503649635,0.0
NI,0.12554744525547445,0.03762043795620438,0.007512494317531631,0.12554744525547443,2.7895403077993544e-17
PODD,0.0218978102189781,0.03623357664233576,0.007357666574211215,0.021897810218978103,3.486925384749193e-18
USFD,0.06861313868613138,0.03686131386861314,0.006516701932289759,0.06861313868613136,1.3947701538996772e-17
CHWY,0.00875912408759124,0.036583941605839415,0.007090792609522616,0.008759124087591243,3.486925384749193e-18
SFM,0.14014598540145984,0.03655474452554743,0.007175594585369056,0.1401459854014599,5.579080615598709e-17
PRMB,0.06131386861313868,0.03728467153284672,0.006621712013211987,0.0613138686131387,2.092155230849516e-17
TKO,0.01897810218978102,0.03613138686131386,0.006766281344397988,0.01897810218978102,0.0
DTM,0.12262773722627736,0.037153284671532845,0.007080326175359817,0.1226277372262774,4.184310461699032e-17
TLN,0.11094890510948904,0.037313868613138686,0.00699758475281819,0.110948905109489,4.184310461699032e-17
EXLS,0.12700729927007298,0.037343065693430655,0.0075334548204016635,0.127007299270073,2.7895403077993544e-17
PLNT,0.02773722627737226,0.03477372262773722,0.007479540497148628,0.02773722627737225,1.046077615424758e-17
WAY,0.0656934306569343,0.035839416058394157,0.00676309908374254,0.06569343065693432,2.7895403077993544e-17
EAT,0.06715328467153284,0.037737226277372256,0.007553986706975812,0.06715328467153282,1.3947701538996772e-17
FSK,0.04817518248175182,0.037854014598540146,0.007567880731255561,0.04817518248175183,6.973850769498386e-18
CORT,0.10656934306569342,0.03797080291970802,0.006507181303070119,0.1065693430656934,1.3947701538996772e-17
PJT,0.1503649635036496,0.03551824817518248,0.006900732467860885,0.15036496350364964,2.7895403077993544e-17
GPI,0.07445255474452554,0.03721167883211679,0.006852020732538461,0.07445255474452554,0.0
VIRT,0.09635036496350365,0.036029197080291966,0.00746657772884308,0.09635036496350366,1.3947701538996772e-17
IDCC,0.05255474452554744,0.03820437956204379,0.007106667826762256,0.052554744525547446,6.973850769498386e-18
TXNM,0.07883211678832117,0.036029197080291966,0.006729610488638178,0.07883211678832117,0.0
TGTX,0.05693430656934306,0.036598540145985396,0.006304746992994526,0.05693430656934307,6.973850769498386e-18
AHR,0.09343065693430656,0.03743065693430657,0.006970460317699089,0.09343065693430652,4.184310461699032e-17
CNO,0.17664233576642335,0.03620437956204379,0.0069750295327590354,0.17664233576642335,0.0
TDS,0.07737226277372262,0.034686131386861316,0.0075561094758059165,0.07737226277372262,0.0
GBTG,0.08175182481751825,0.036364963503649636,0.00631102638509197,0.08175182481751822,2.7895403077993544e-17
KNTK,0.12262773722627736,0.036686131386861304,0.0066029435549058955,0.1226277372262774,4.184310461699032e-17
FTDR,0.11678832116788321,0.03743065693430656,0.007531568620222076,0.11678832116788321,0.0
CARG,0.06131386861313868,0.036364963503649636,0.007652290544077438,0.0613138686131387,2.092155230849516e-17
AVPT,0.11094890510948904,0.03727007299270073,0.006363203886736123,0.110948905109489,4.184310461699032e-17
HTLF,0.15620437956204378,0.037751824817518244,0.006190228950223251,0.15620437956204375,2.7895403077993544e-17
ENVA,0.1532846715328467,0.0357956204379562,0.007419143962370495,0.15328467153284664,5.579080615598709e-17
GCMG,0.07153284671532846,0.03715328467153285,0.006608548743493031,0.07153284671532846,0.0
RSI,0.02627737226277372,0.0377956204379562,0.006217554569485985,0.026277372262773723,3.486925384749193e-18
KYN,0.14014598540145984,0.03608759124087591,0.006218195061054005,0.1401459854014599,5.579080615598709e-17
SYBT,0.20145985401459854,0.03601459854014598,0.0068506382441728825,0.20145985401459843,1.1158161231197418e-16
CET,0.058394160583941604,0.03652554744525547,0.007223614409348324,0.058394160583941604,0.0
TPB,0.11678832116788321,0.03731386861313869,0.007149747766482927,0.11678832116788321,0.0
BBSI,0.10364963503649634,0.035664233576642335,0.006929372665058285,0.1036496350364964,5.579080615598709e-17
CURLF,0.00583941605839416,0.03724087591240876,0.00703799893583977,0.005839416058394158,2.615194038561895e-18
CBL,0.024817518248175182,0.03613138686131386,0.006476940318851186,0.02481751824817518,3.486925384749193e-18
PRTH,0.010218978102189781,0.03616058394160584,0.00723812775917996,0.010218978102189778,3.486925384749193e-18
NBN,0.17664233576642335,0.037664233576642336,0.007830001111201093,0.17664233576642335,0.0
MS,0.09927007299270073,0.03725547445255474,0.0069238561982886615,0.09927007299270071,1.3947701538996772e-17
C,0.01167883211678832,0.03582481751824817,0.006908106204925714,0.011678832116788315,5.23038807712379e-18
IBKR,0.0656934306569343,0.036437956204379555,0.007103228934286138,0.06569343065693432,2.7895403077993544e-17
EPD,0.02773722627737226,0.03691970802919708,0.006938810397823632,0.02773722627737225,1.046077615424758e-17
