Ticker,Cluster_coefficient,ER_Cluster_Mean,ER_Cluster_Std,DP_Cluster_Mean,DP_Cluster_Std
KOS,0.5,0.0369843576320103,0.011524820222267874,0.23610000000000003,0.16003875281444305
TFC,0.6548076923076923,0.036469992068909454,0.011178494171599197,0.20698990384615387,0.024037530199675965
CFG,0.5392156862745098,0.036472611390491606,0.011080623355934816,0.19561624649859946,0.01952139081824663
GMED,0.3055555555555556,0.03737905832396562,0.011364436764081986,0.24033333333333334,0.09908384192787428
COOP,0.6483516483516484,0.03682995641029882,0.011883288257647654,0.2378131868131868,0.07378300560738488
HWC,0.6998299319727891,0.037212936567201337,0.011677310431501572,0.21445153061224487,0.02905315376320959
SANM,0.3333333333333333,0.0360928610721556,0.011078921712241563,0.24866666666666665,0.2658571295765453
MWA,0.524731182795699,0.0361660776105568,0.011153837956102686,0.2261010752688172,0.04085269303134749
CASH,0.4406779661016949,0.036427026545341024,0.011229242101599866,0.1789125480700755,0.014724579585347439
NOW,0.3333333333333333,0.03662774672357278,0.011472434619069712,0.237,0.11769305151734277
BLK,0.5615615615615616,0.036679447180990345,0.011681240828153847,0.22208258258258257,0.03615078156059954
BX,0.5204081632653061,0.03718006778953734,0.01138560627761821,0.2160671768707483,0.029058571842462817
LITE,0.6190476190476191,0.03680340034842335,0.011341286568667926,0.2388095238095238,0.1208925632006951
VCYT,0.4358974358974359,0.03695670650349686,0.011148145187025471,0.2344230769230769,0.07557637994359712
PAR,0.4173387096774194,0.03622048810324481,0.011632532877435427,0.2241592741935484,0.03812323896849643
BKE,1.0,0.03702690190879598,0.011704105704053102,0.239,0.42668613881993056
PX,0.47435897435897434,0.03652501395711468,0.011304664886354138,0.2192166666666667,0.03516803240901135
RTX,0.2,0.03687558209865786,0.011364104873898813,0.23670000000000002,0.15565133259094616
DUK,0.48366013071895425,0.0367437235181056,0.01132098197846496,0.23249673202614377,0.059616304157418275
MMM,0.42424242424242425,0.037085089659878376,0.011571858760100905,0.23653030303030304,0.08067385652711785
SN,0.3,0.03647406465087805,0.012009480124224065,0.24690000000000004,0.162347610843975
BKV,0.0,0.03726975695760411,0.011464108158222085,0.2313333333333333,0.2505391805528693
BKNG,1.0,0.03616734058401486,0.011540555627641324,0.23516666666666666,0.19968826500563008
APO,0.3466666666666667,0.03682456881638828,0.011079353010644274,0.23053333333333334,0.045874684837404096
SPGI,0.6071428571428571,0.03648528689327996,0.011187409910897117,0.23757142857142854,0.10507256695236208
MCO,0.34285714285714286,0.036734507820884665,0.011275553679110883,0.23247619047619048,0.06822080411718683
REG,0.4187192118226601,0.03703923183357543,0.011526308399936555,0.2253054187192118,0.044492579178756486
GLPI,0.5333333333333333,0.0366177209037694,0.011679788824231539,0.24453333333333335,0.13978033834353054
JLL,0.44731182795698926,0.03682281747526212,0.011542817940443912,0.2261311827956989,0.04053712172816974
COKE,0.23809523809523808,0.037282288224202376,0.012020732944841205,0.2358095238095238,0.11700857318565466
ADC,0.28591749644381226,0.03638062368566794,0.01216029700419614,0.22036130867709816,0.03674597425397153
FCPT,0.4150197628458498,0.037157707294332896,0.011680883682214547,0.2290790513833992,0.049954107245488905
NFG,0.8333333333333334,0.03652948249937728,0.011526197138272328,0.24133333333333332,0.19498323750351412
BCSF,0.8,0.03604379757781779,0.011082642830751823,0.23833333333333337,0.13847887427634245
PNC,0.44635854341736697,0.036453279549270516,0.011189080591830762,0.1774404761904762,0.014592542488983657
MTB,0.4650858849887976,0.03602533229489121,0.01146509305065057,0.1859757281553398,0.01656172837992915
TPG,0.543859649122807,0.03690975215851091,0.011717424161847106,0.22963742690058478,0.0566594084779009
EVR,0.5284810126582279,0.03680397376640267,0.010980772290181446,0.19899493670886076,0.020955949045901468
VNO,0.6666666666666666,0.03670781959106119,0.01093813783061351,0.22925238095238096,0.05344684466514785
ALSN,0.526595744680851,0.03648742573158624,0.010870332488719511,0.21579698581560283,0.029133900984065937
UMBF,0.44417631917631917,0.036677710294841404,0.011465449261779932,0.18180164092664092,0.015654746924052627
COLB,0.47801256424900057,0.03667604438303418,0.011786594253806787,0.18615229392727964,0.016046987358597588
GBCI,0.5906759906759906,0.036888436895610326,0.011743578470651208,0.20553146853146853,0.0240562214092737
CUZ,0.46449570330167345,0.037445154871112406,0.011503887799721894,0.20533966530981457,0.024084018666574954
SFBS,0.4964525765496639,0.037479468348709376,0.011541698496478545,0.18570463032113513,0.01684838573083508
DORM,0.5192012288786483,0.0362783803783593,0.011454481089029966,0.20864874551971327,0.024660135180887416
TCBI,0.5703211517165006,0.03684809856815491,0.012529932370585039,0.21878516057585823,0.03192164791092216
DEI,0.5780780780780781,0.03670965789412123,0.011874062138528986,0.2224954954954955,0.03674858222929369
SFNC,0.7294117647058823,0.037097385349193844,0.011605836459256603,0.22151428571428575,0.03647796383923962
BANR,0.40601503759398494,0.0363888031075051,0.011275705725913847,0.17178092959671906,0.013335295635278183
HBI,0.6,0.03648722557670438,0.01238104124909065,0.2471,0.16516315832796633
VBTX,0.565068493150685,0.03671685954413198,0.011305102145828876,0.2011183409436834,0.021857456682493275
DCOM,0.4538834951456311,0.03666595182291604,0.011624104391795172,0.18602165795369677,0.0164760852782313
CMPO,0.4175475687103594,0.037143807670531555,0.011415376007409174,0.21838689217758986,0.032435118214257506
TMP,0.5145723841376015,0.03633872755253283,0.012013247491746195,0.19280267558528424,0.01868502156167634
AROC,0.6222222222222222,0.03680986736622806,0.01108920944099115,0.2368888888888889,0.09160136769530282
DXPE,0.9,0.03642142844028918,0.011549652427463492,0.2349,0.15347815983241897
VFC,0.0,0.03685256657654965,0.01150520602492228,0.235,0.4242109792956271
PH,0.49473684210526314,0.0370060681862362,0.012100918265351153,0.22963684210526317,0.054775075248010494
PAYX,0.7233201581027668,0.03749680566730371,0.01217511830039793,0.2300474308300395,0.051243542911989425
RDDT,0.3055555555555556,0.03685541947475591,0.011834154305128759,0.23505555555555555,0.09794567729808393
EXEL,0.6666666666666666,0.03667229322347215,0.01109605637356382,0.247,0.19010062956358556
PNFP,0.39271371199082045,0.03681830818868699,0.011800160078152423,0.19570682730923694,0.01962679465390835
CMA,0.6856060606060606,0.03727850574742113,0.01144785964424722,0.22602651515151514,0.040573467703230885
AWI,0.7279411764705882,0.03606735041690404,0.01161413665413706,0.2340955882352941,0.06379951632022345
THG,0.5,0.037166904328914965,0.011989918000050509,0.23540909090909087,0.08191893748882598
CVCO,0.0,0.036566577613345516,0.011189221994992537,0.24966666666666662,0.2692895285441245
XEL,0.8571428571428571,0.03653534806917632,0.011877943739866819,0.2388095238095238,0.11941907822891293
CWAN,0.7065217391304348,0.03604026809359772,0.0113650512405453,0.22958695652173916,0.04808643812703042
SKT,0.6,0.03689265148564491,0.011407511439308762,0.23560000000000003,0.1555533247373287
IVT,0.5850649350649351,0.03704455264984169,0.011242225461264193,0.21219805194805194,0.02654766100084839
OKE,0.5121212121212121,0.03648262312231227,0.011581149828349692,0.21776666666666666,0.03137889997850392
RF,0.5873417721518988,0.03730033819618217,0.012320200718794846,0.19863987341772152,0.020907953459350072
PKG,0.5238095238095238,0.03625413837603099,0.011444498711867599,0.23033809523809523,0.05300050019834948
CW,0.3954022988505747,0.036231198225484686,0.011762864963922983,0.22439310344827587,0.041840655770769376
DRS,0.6904761904761905,0.03730251032673496,0.011156672107305816,0.23137619047619049,0.054105208708932095
STEP,0.3559577677224736,0.03635633561461254,0.01129161469179701,0.21483861236802415,0.027644247662587242
CADE,0.5495557074504442,0.03615609260813933,0.011340778217130712,0.199728981544771,0.02112923248133854
VERX,0.7684210526315789,0.03691977069360746,0.011339765121626818,0.22928947368421052,0.054511440270727456
PIPR,0.44336633663366337,0.036981323448209126,0.011580064784276535,0.18783821782178223,0.01699238685435589
ROAD,0.45714285714285713,0.03665903779584975,0.011475510802020162,0.23109047619047618,0.05288212311593687
KTB,1.0,0.03655022503735597,0.011603115017242108,0.2373,0.15570148667547448
PLXS,0.5968253968253968,0.036673695330917765,0.011471695904130247,0.22287777777777779,0.03702016023048117
